Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODINo
8,11,11,1,0,72.72,3,caught,2,v Australia,Sydney,23-Jan-16,ODI # 3727
85*,109,81,9,1,104.93,3,not out,2,v New Zealand,Dharamsala,16-Oct-16,ODI # 3796
9,18,13,1,0,69.23,3,caught,2,v New Zealand,Delhi,20-Oct-16,ODI # 3797
154*,202,134,16,1,114.92,3,not out,2,v New Zealand,Mohali,23-Oct-16,ODI # 3798
45,64,51,2,1,88.23,3,caught,2,v New Zealand,Ranchi,26-Oct-16,ODI # 3799
65,152,76,2,1,85.52,3,caught,1,v New Zealand,Visakhapatnam,29-Oct-16,ODI # 3800
122,147,105,8,5,116.19,3,caught,2,v England,Pune,15-Jan-17,ODI # 3819
8,6,5,2,0,160,3,caught,1,v England,Cuttack,19-Jan-17,ODI # 3821
55,81,63,8,0,87.3,3,caught,2,v England,Kolkata,22-Jan-17,ODI # 3824
81*,108,68,6,3,119.11,3,not out,1,v Pakistan,Birmingham,04-Jun-17,ODI # 3878
0,5,5,0,0,0,3,caught,1,v Sri Lanka,The Oval,08-Jun-17,ODI # 3882
76*,136,101,7,1,75.24,3,not out,2,v South Africa,The Oval,11-Jun-17,ODI # 3886
96*,96,78,13,0,123.07,3,not out,2,v Bangladesh,Birmingham,15-Jun-17,ODI # 3891
5,11,9,0,0,55.55,3,caught,2,v Pakistan,The Oval,18-Jun-17,ODI # 3894
32*,-,47,1,0,68.08,3,not out,1,v West Indies,Port of Spain,23-Jun-17,ODI # 3895
87,-,66,4,4,131.81,3,caught,1,v West Indies,Port of Spain,25-Jun-17,ODI # 3896
11,-,22,2,0,50,3,caught,1,v West Indies,North Sound,30-Jun-17,ODI # 3898
3,-,12,0,0,25,3,caught,2,v West Indies,North Sound,02-Jul-17,ODI # 3900
111*,-,115,12,2,96.52,3,not out,2,v West Indies,Kingston,06-Jul-17,ODI # 3902
82*,-,70,10,1,117.14,3,not out,2,v Sri Lanka,Dambulla,20-Aug-17,ODI # 3905
4,-,2,1,0,200,5,bowled,2,v Sri Lanka,Pallekele,24-Aug-17,ODI # 3906
3,-,11,0,0,27.27,3,caught,2,v Sri Lanka,Pallekele,27-Aug-17,ODI # 3907
131,-,96,17,2,136.45,3,caught,1,v Sri Lanka,Colombo (RPS),31-Aug-17,ODI # 3908
110*,-,116,9,0,94.82,3,not out,2,v Sri Lanka,Colombo (RPS),03-Sep-17,ODI # 3909
0,7,4,0,0,0,3,caught,1,v Australia,Chennai,17-Sep-17,ODI # 3910
92,148,107,8,0,85.98,3,bowled,1,v Australia,Kolkata,21-Sep-17,ODI # 3912
28,58,35,2,0,80,3,caught,2,v Australia,Indore,24-Sep-17,ODI # 3914
21,23,21,3,0,100,3,bowled,2,v Australia,Bengaluru,28-Sep-17,ODI # 3917
39,73,55,2,0,70.9,3,caught,2,v Australia,Nagpur,01-Oct-17,ODI # 3919
121,203,125,9,2,96.8,3,caught,1,v New Zealand,Mumbai,22-Oct-17,ODI # 3928
