Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODINo
3,10,8,0,0,37.5,5,lbw,2,vÿSouth Africa,East London,19-Oct-01,ODI # 1762
10*,10,8,0,0,125,5,not out,1,vÿKenya,Paarl,24-Oct-01,ODI # 1764
0,3,2,0,0,0,6,caught,1,vÿSouth Africa,Durban,26-Oct-01,ODI # 1766
80*,74,60,8,1,133.33,6,not out,2,vÿZimbabwe,Hyderabad (Deccan),16-Mar-02,ODI # 1817
75,81,52,6,3,144.23,6,caught,1,vÿZimbabwe,Guwahati,19-Mar-02,ODI # 1818
DNB,-,-,-,-,-,-,-,2,vÿWest Indies,Bridgetown,29-May-02,ODI # 1836
1,6,6,0,0,16.66,5,caught,1,vÿWest Indies,Port of Spain,01-Jun-02,ODI # 1837
10,18,16,1,0,62.5,6,bowled,1,vÿWest Indies,Port of Spain,02-Jun-02,ODI # 1838
64*,93,65,7,0,98.46,6,not out,2,vÿEngland,Lord's,29-Jun-02,ODI # 1848
31,68,44,3,0,70.45,6,caught,2,vÿSri Lanka,The Oval,30-Jun-02,ODI # 1849
40*,24,19,4,1,210.52,6,not out,1,vÿEngland,Chester-le-Street,04-Jul-02,ODI # 1851
37,87,68,4,1,54.41,6,caught,2,vÿSri Lanka,Birmingham,06-Jul-02,ODI # 1852
5,19,13,0,0,38.46,5,stumped,2,vÿEngland,The Oval,09-Jul-02,ODI # 1854
8,10,11,1,0,72.72,6,lbw,1,vÿSri Lanka,Bristol,11-Jul-02,ODI # 1855
69,82,63,9,1,109.52,6,caught,2,vÿEngland,Lord's,13-Jul-02,ODI # 1856
3,7,7,0,0,42.85,6,caught,1,vÿZimbabwe,Colombo (RPS),14-Sep-02,ODI # 1876
DNB,-,-,-,-,-,-,-,2,vÿEngland,Colombo (RPS),22-Sep-02,ODI # 1884
62,84,72,6,0,86.11,6,caught,1,vÿSouth Africa,Colombo (RPS),25-Sep-02,ODI # 1886
DNB,-,-,-,-,-,-,-,2,vÿSri Lanka,Colombo (RPS),29-Sep-02,ODI # 1888
DNB,-,-,-,-,-,-,-,2,vÿSri Lanka,Colombo (RPS),30-Sep-02,ODI # 1889
4,14,8,0,0,50,6,caught,1,vÿWest Indies,Jamshedpur,06-Nov-02,ODI # 1893
1,2,2,0,0,50,7,caught,1,vÿWest Indies,Nagpur,09-Nov-02,ODI # 1894
DNB,-,-,-,-,-,-,-,2,vÿWest Indies,Rajkot,12-Nov-02,ODI # 1895
30,43,30,1,1,100,5,caught,2,vÿWest Indies,Ahmedabad,15-Nov-02,ODI # 1896
15,21,12,2,0,125,6,caught,1,vÿWest Indies,Vadodara,18-Nov-02,ODI # 1897
54,79,64,7,0,84.37,5,caught,2,vÿWest Indies,Jodhpur,21-Nov-02,ODI # 1898
68,-,69,7,1,98.55,5,bowled,2,vÿWest Indies,Vijayawada,24-Nov-02,ODI # 1900
2,2,3,0,0,66.66,6,caught,1,vÿNew Zealand,Auckland,26-Dec-02,ODI # 1926
0,1,2,0,0,0,5,stumped,2,vÿNew Zealand,Napier,29-Dec-02,ODI # 1927
12,60,44,1,0,27.27,6,run out,1,vÿNew Zealand,Christchurch,01-Jan-03,ODI # 1928
25,86,61,3,0,40.98,6,caught,1,vÿNew Zealand,Queenstown,04-Jan-03,ODI # 1929
54,124,85,8,0,63.52,6,caught,2,vÿNew Zealand,Wellington,08-Jan-03,ODI # 1930
8,30,25,0,0,32,5,caught,2,vÿNew Zealand,Auckland,11-Jan-03,ODI # 1933
33,82,58,4,0,56.89,6,caught,1,vÿNew Zealand,Hamilton,14-Jan-03,ODI # 1935
