Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODINo
133,190,105,11,6,126.66,2,bowled,1,vÿWest Indies,Centurion,28-Jan-15,ODI # 3593
11,36,26,1,0,42.3,2,bowled,1,vÿZimbabwe,Hamilton,15-Feb-15,ODI # 3601
22,50,28,2,0,78.57,1,caught,2,vÿIndia,Melbourne,22-Feb-15,ODI # 3610
65,122,88,1,1,73.86,2,lbw,1,vÿWest Indies,Sydney,27-Feb-15,ODI # 3616
159,168,128,16,4,124.21,1,caught,1,vÿIreland,Canberra,03-Mar-15,ODI # 3621
38,51,27,9,0,140.74,2,caught,2,vÿPakistan,Auckland,07-Mar-15,ODI # 3626
12,15,16,3,0,75,1,caught,1,vÿU.A.E.,Wellington,12-Mar-15,ODI # 3633
16,30,23,1,0,69.56,1,caught,2,vÿSri Lanka,Sydney,18-Mar-15,ODI # 3640
10,15,14,2,0,71.42,1,bowled,1,vÿNew Zealand,Auckland,24-Mar-15,ODI # 3644
14,23,18,2,0,77.77,2,caught,2,vÿBangladesh,Dhaka,10-Jul-15,ODI # 3663
22,56,37,3,0,59.45,1,bowled,1,vÿBangladesh,Dhaka,12-Jul-15,ODI # 3666
15,62,35,2,0,42.85,2,caught,1,vÿBangladesh,Chattogram,15-Jul-15,ODI # 3668
124,193,126,13,3,98.41,2,bowled,1,vÿNew Zealand,Centurion,19-Aug-15,ODI # 3676
8,6,8,2,0,100,1,caught,1,vÿNew Zealand,Potchefstroom,23-Aug-15,ODI # 3677
44,82,55,7,0,80,2,caught,1,vÿNew Zealand,Durban,26-Aug-15,ODI # 3678
37,96,59,3,0,62.71,2,bowled,1,vÿIndia,Kanpur,11-Oct-15,ODI # 3689
17,25,17,3,0,100,1,stumped,2,vÿIndia,Indore,14-Oct-15,ODI # 3692
5,21,15,0,0,33.33,3,stumped,1,vÿIndia,Rajkot,18-Oct-15,ODI # 3695
7,24,10,0,0,70,2,caught,2,vÿIndia,Chennai,22-Oct-15,ODI # 3698
23,18,13,5,0,176.92,2,caught,1,vÿIndia,Mumbai,25-Oct-15,ODI # 3700
6,8,9,1,0,66.66,2,bowled,2,vÿEngland,Bloemfontein,03-Feb-16,ODI # 3732
4,8,8,1,0,50,1,bowled,1,vÿEngland,Port Elizabeth,06-Feb-16,ODI # 3734
127,187,130,13,2,97.69,2,caught,2,vÿEngland,Centurion,09-Feb-16,ODI # 3736
0,-,3,0,0,0,1,bowled,2,vÿEngland,Johannesburg,12-Feb-16,ODI # 3737
59,131,93,4,0,63.44,2,stumped,2,vÿEngland,Cape Town,14-Feb-16,ODI # 3738
20,47,26,1,0,76.92,2,lbw,1,vÿWest Indies,Providence,03-Jun-16,ODI # 3739
35,81,46,2,0,76.08,1,run out,1,vÿAustralia,Providence,07-Jun-16,ODI # 3741
60,105,64,6,1,93.75,2,caught,2,vÿAustralia,Basseterre,11-Jun-16,ODI # 3743
110,133,99,13,0,111.11,1,caught,1,vÿWest Indies,Basseterre,15-Jun-16,ODI # 3747
0*,-,1,0,0,0,2,not out,1,vÿAustralia,Bridgetown,19-Jun-16,ODI # 3750
16,-,36,2,0,44.44,1,lbw,2,vÿWest Indies,Bridgetown,24-Jun-16,ODI # 3754
45,33,30,9,0,150,2,lbw,2,vÿAustralia,Durban,05-Oct-16,ODI # 3790
4,8,8,1,0,50,1,lbw,2,vÿAustralia,Port Elizabeth,09-Oct-16,ODI # 3792
25,27,22,5,0,113.63,2,bowled,1,vÿAustralia,Cape Town,12-Oct-16,ODI # 3795
57,110,71,5,1,80.28,2,caught,2,vÿSri Lanka,Port Elizabeth,28-Jan-17,ODI # 3828
15,16,14,3,0,107.14,1,lbw,1,vÿSri Lanka,Durban,01-Feb-17,ODI # 3830
34,91,54,4,0,62.96,2,run out,2,vÿSri Lanka,Johannesburg,04-Feb-17,ODI # 3831
1,8,9,0,0,11.11,1,caught,1,vÿSri Lanka,Cape Town,07-Feb-17,ODI # 3833
154,217,134,15,5,114.92,2,caught,1,vÿSri Lanka,Centurion,10-Feb-17,ODI # 3834
35,63,43,4,0,81.39,2,caught,2,vÿNew Zealand,Hamilton,19-Feb-17,ODI # 3836
10,19,13,2,0,76.92,1,lbw,2,vÿNew Zealand,Christchurch,22-Feb-17,ODI # 3839
7,37,19,0,0,36.84,2,caught,1,vÿNew Zealand,Wellington,25-Feb-17,ODI # 3841
40,54,38,6,1,105.26,1,bowled,1,vÿNew Zealand,Hamilton,01-Mar-17,ODI # 3843
8,47,28,1,0,28.57,2,caught,2,vÿNew Zealand,Auckland,04-Mar-17,ODI # 3846
73,97,76,8,0,96.05,1,lbw,2,vÿEngland,Leeds,24-May-17,ODI # 3872
24,40,29,3,0,82.75,2,caught,2,vÿEngland,Southampton,27-May-17,ODI # 3873
55,60,54,11,0,101.85,1,bowled,2,vÿEngland,Lord's,29-May-17,ODI # 3874
103,202,115,5,2,89.56,1,run out,1,vÿSri Lanka,The Oval,03-Jun-17,ODI # 3877
16,39,20,2,0,80,2,lbw,1,vÿPakistan,Birmingham,07-Jun-17,ODI # 3881
35,69,54,3,1,64.81,2,caught,1,vÿIndia,The Oval,11-Jun-17,ODI # 3886
110*,188,112,8,0,98.21,2,not out,2,vÿBangladesh,Kimberley,15-Oct-17,ODI # 3923
85,152,92,4,0,92.39,1,caught,1,vÿBangladesh,Paarl,18-Oct-17,ODI # 3925
16,32,17,1,0,94.11,2,lbw,1,vÿIndia,Durban,01-Feb-18,ODI # 3969
23,39,32,4,0,71.87,1,caught,1,vÿIndia,Centurion,04-Feb-18,ODI # 3970
1,5,2,0,0,50,1,lbw,2,vÿIndia,Cape Town,07-Feb-18,ODI # 3971
33,59,40,4,0,82.5,2,caught,2,vÿIndia,Johannesburg,10-Feb-18,ODI # 3973
71,151,92,5,0,77.17,1,run out,2,vÿIndia,Port Elizabeth,13-Feb-18,ODI # 3976
10,25,19,2,0,52.63,2,caught,1,vÿIndia,Centurion,16-Feb-18,ODI # 3978
19,-,14,3,0,135.71,1,bowled,2,vÿSri Lanka,Dambulla,29-Jul-18,ODI # 4025
43,-,43,6,0,100,2,caught,2,vÿSri Lanka,Dambulla,01-Aug-18,ODI # 4027
59,-,59,9,1,100,1,bowled,1,vÿSri Lanka,Pallekele,05-Aug-18,ODI # 4029
40,-,23,6,0,173.91,2,caught,2,vÿSri Lanka,Pallekele,08-Aug-18,ODI # 4030
0,-,4,0,0,0,1,bowled,2,vÿSri Lanka,Colombo (RPS),12-Aug-18,ODI # 4031
108*,212,120,7,1,90,1,not out,1,vÿPakistan,Port Elizabeth,19-Jan-19,ODI # 4080
8,7,5,2,0,160,2,bowled,2,vÿPakistan,Durban,22-Jan-19,ODI # 4081
25,39,30,3,0,83.33,2,caught,2,vÿPakistan,Centurion,25-Jan-19,ODI # 4084
59,131,75,7,0,78.66,1,bowled,1,vÿPakistan,Johannesburg,27-Jan-19,ODI # 4087
14,30,17,2,0,82.35,2,caught,2,vÿPakistan,Cape Town,30-Jan-19,ODI # 4090
13,46,23,1,0,56.52,2,caught,2,vÿEngland,The Oval,30-May-19,ODI # 4143
6,16,9,1,0,66.66,1,caught,1,vÿIndia,Southampton,05-Jun-19,ODI # 4150
6,13,7,1,0,85.71,2,caught,1,vÿWest Indies,Southampton,10-Jun-19,ODI # 4156
41*,105,83,4,0,49.39,1,not out,2,vÿAfghanistan,Cardiff,15-Jun-19,ODI # 4160
55,111,83,4,0,66.26,2,bowled,1,vÿNew Zealand,Birmingham,19-Jun-19,ODI # 4165
2,7,3,0,0,66.66,1,lbw,2,vÿPakistan,Lord's,23-Jun-19,ODI # 4171
80*,167,105,5,0,76.19,2,not out,2,vÿSri Lanka,Chester-le-Street,28-Jun-19,ODI # 4176
