Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODINo
79*,111,73,6,3,108.21,5,not out,1,v˜New Zealand,Hamilton,28-Jan-14,ODI # 3465
47,79,72,3,0,65.27,6,caught,2,v˜New Zealand,Wellington,31-Jan-14,ODI # 3467
52,94,51,6,0,101.96,6,bowled,1,v˜England,Cardiff,27-Aug-14,ODI # 3517
DNB,-,-,-,-,-,-,-,2,v˜England,Nottingham,30-Aug-14,ODI # 3520
DNB,-,-,-,-,-,-,-,2,v˜England,Birmingham,02-Sep-14,ODI # 3523
29,63,42,1,1,69.04,6,caught,2,v˜England,Leeds,05-Sep-14,ODI # 3525
8,37,21,0,0,38.09,6,bowled,2,v˜West Indies,Kochi,08-Oct-14,ODI # 3531
51*,66,40,5,1,127.5,6,not out,1,v˜West Indies,Delhi,11-Oct-14,ODI # 3533
6,10,5,0,0,120,5,run out,1,v˜West Indies,Dharamsala,17-Oct-14,ODI # 3535
19,42,31,2,0,61.29,6,bowled,1,v˜Australia,Melbourne,18-Jan-15,ODI # 3582
34,70,61,1,0,55.73,6,caught,1,v˜England,Brisbane,20-Jan-15,ODI # 3586
DNB,-,-,-,-,-,-,-,1,v˜Australia,Sydney,26-Jan-15,ODI # 3592
17,38,32,3,0,53.12,6,lbw,1,v˜England,Perth,30-Jan-15,ODI # 3595
18,22,13,1,1,138.46,5,caught,1,v˜Pakistan,Adelaide,15-Feb-15,ODI # 3602
18,22,11,3,0,163.63,6,caught,1,v˜South Africa,Melbourne,22-Feb-15,ODI # 3610
DNB,-,-,-,-,-,-,-,2,v˜U.A.E.,Perth,28-Feb-15,ODI # 3618
45*,96,56,3,1,80.35,6,not out,2,v˜West Indies,Perth,06-Mar-15,ODI # 3625
DNB,-,-,-,-,-,-,-,2,v˜Ireland,Hamilton,10-Mar-15,ODI # 3631
85*,113,76,8,2,111.84,6,not out,2,v˜Zimbabwe,Auckland,14-Mar-15,ODI # 3636
6,28,11,0,0,54.54,6,caught,1,v˜Bangladesh,Melbourne,19-Mar-15,ODI # 3641
65,94,65,3,2,100,6,run out,2,v˜Australia,Sydney,26-Mar-15,ODI # 3645
5,13,7,0,0,71.42,6,caught,2,v˜Bangladesh,Dhaka,18-Jun-15,ODI # 3658
47,112,75,3,0,62.66,4,caught,1,v˜Bangladesh,Dhaka,21-Jun-15,ODI # 3660
69,112,77,6,1,89.61,4,caught,1,v˜Bangladesh,Dhaka,24-Jun-15,ODI # 3661
31,54,30,1,0,103.33,5,caught,2,v˜South Africa,Kanpur,11-Oct-15,ODI # 3689
92*,144,86,7,4,106.97,5,not out,1,v˜South Africa,Indore,14-Oct-15,ODI # 3692
47,85,61,5,0,77.04,4,caught,2,v˜South Africa,Rajkot,18-Oct-15,ODI # 3695
15,28,16,1,0,93.75,6,caught,1,v˜South Africa,Chennai,22-Oct-15,ODI # 3698
27,50,29,3,0,93.1,6,bowled,2,v˜South Africa,Mumbai,25-Oct-15,ODI # 3700
18,18,13,1,1,138.46,4,caught,1,v˜Australia,Perth,12-Jan-16,ODI # 3723
11,16,10,0,0,110,5,caught,1,v˜Australia,Brisbane,15-Jan-16,ODI # 3724
23,23,9,2,2,255.55,5,caught,1,v˜Australia,Melbourne,17-Jan-16,ODI # 3725
0,2,3,0,0,0,4,caught,2,v˜Australia,Canberra,20-Jan-16,ODI # 3726
34,64,42,1,1,80.95,5,caught,2,v˜Australia,Sydney,23-Jan-16,ODI # 3727
DNB,-,-,-,-,-,-,-,2,v˜Zimbabwe,Harare,11-Jun-16,ODI # 3742
DNB,-,-,-,-,-,-,-,2,v˜Zimbabwe,Harare,13-Jun-16,ODI # 3744
DNB,-,-,-,-,-,-,-,2,v˜Zimbabwe,Harare,15-Jun-16,ODI # 3746
21,41,24,1,1,87.5,5,run out,2,v˜New Zealand,Dharamsala,16-Oct-16,ODI # 3796
39,95,65,3,0,60,5,caught,2,v˜New Zealand,Delhi,20-Oct-16,ODI # 3797
80,122,91,6,3,87.91,4,caught,2,v˜New Zealand,Mohali,23-Oct-16,ODI # 3798
11,36,31,0,0,35.48,4,bowled,2,v˜New Zealand,Ranchi,26-Oct-16,ODI # 3799
41,64,59,4,1,69.49,4,lbw,1,v˜New Zealand,Visakhapatnam,29-Oct-16,ODI # 3800
6,7,6,1,0,100,5,caught,2,v˜England,Pune,15-Jan-17,ODI # 3819
134,203,122,10,6,109.83,5,caught,1,v˜England,Cuttack,19-Jan-17,ODI # 3821
25,45,36,1,1,69.44,5,caught,2,v˜England,Kolkata,22-Jan-17,ODI # 3824
DNB,-,-,-,-,-,-,-,1,v˜Pakistan,Birmingham,04-Jun-17,ODI # 3878
63,78,52,7,2,121.15,5,caught,1,v˜Sri Lanka,The Oval,08-Jun-17,ODI # 3882
