Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODINo
4,5,7,0,0,57.14,3,caught,2,v West Indies,Delhi,24-Feb-11,ODI # 3106
2,10,12,0,0,16.66,3,caught,1,v Netherlands,Mohali,03-Mar-11,ODI # 3115
15,26,20,3,0,75,3,caught,2,v England,Chennai,06-Mar-11,ODI # 3120
69,120,88,4,0,78.4,3,run out,2,v India,Nagpur,12-Mar-11,ODI # 3128
19,43,31,3,0,61.29,4,run out,1,v Ireland,Kolkata,15-Mar-11,ODI # 3133
69,88,76,5,1,90.78,3,caught,1,v Bangladesh,Dhaka,19-Mar-11,ODI # 3138
47,96,75,3,0,62.66,3,caught,2,v New Zealand,Dhaka,25-Mar-11,ODI # 3144
15,29,15,1,1,100,3,bowled,2,v Australia,Centurion,19-Oct-11,ODI # 3203
76,118,88,7,2,86.36,3,run out,1,v Australia,Port Elizabeth,23-Oct-11,ODI # 3208
54,80,74,3,2,72.97,3,caught,1,v Australia,Durban,28-Oct-11,ODI # 3211
72,115,80,6,1,90,3,run out,1,v Sri Lanka,Paarl,11-Jan-12,ODI # 3225
37,79,51,3,0,72.54,3,caught,2,v Sri Lanka,East London,14-Jan-12,ODI # 3226
13,26,17,2,0,76.47,3,caught,2,v New Zealand,Wellington,25-Feb-12,ODI # 3249
4,12,5,1,0,80,2,caught,2,v New Zealand,Napier,29-Feb-12,ODI # 3252
50,90,71,5,1,70.42,4,bowled,2,v Pakistan,Cape Town,24-Nov-13,ODI # 3438
6,12,12,0,0,50,4,caught,2,v Pakistan,Port Elizabeth,27-Nov-13,ODI # 3440
10,16,14,2,0,71.42,3,caught,1,v India,Johannesburg,05-Dec-13,ODI # 3442
10,19,13,1,0,76.92,6,bowled,1,v India,Durban,08-Dec-13,ODI # 3443
0,3,2,0,0,0,3,lbw,1,v Sri Lanka,Colombo (RPS),06-Jul-14,ODI # 3500
1,15,7,0,0,14.28,3,caught,2,v Sri Lanka,Pallekele,09-Jul-14,ODI # 3501
4,17,10,0,0,40,3,lbw,1,v Sri Lanka,Hambantota,12-Jul-14,ODI # 3502
