Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODINo
5,-,10,0,0,50,3,caught,1,vÿWest Indies,St George's,27-Feb-19,ODI # 4099
1,-,2,0,0,50,3,caught,1,vÿWest Indies,Gros Islet,02-Mar-19,ODI # 4103
7,8,6,1,0,116.66,3,lbw,2,vÿIreland,Dublin (Malahide),03-May-19,ODI # 4127
TDNB,-,-,-,-,-,-,-,-,vÿPakistan,The Oval,08-May-19,ODI # 4130
40,69,54,3,0,74.07,3,caught,1,vÿPakistan,Southampton,11-May-19,ODI # 4133
43,79,36,4,1,119.44,3,caught,2,vÿPakistan,Bristol,14-May-19,ODI # 4135
36,68,41,3,0,87.8,3,caught,2,vÿPakistan,Nottingham,17-May-19,ODI # 4138
84,112,73,9,0,115.06,3,caught,1,vÿPakistan,Leeds,19-May-19,ODI # 4140
51,83,59,5,0,86.44,3,caught,1,vÿSouth Africa,The Oval,30-May-19,ODI # 4143
107,168,104,10,1,102.88,3,caught,2,vÿPakistan,Nottingham,03-Jun-19,ODI # 4148
21,54,29,1,0,72.41,3,bowled,1,vÿBangladesh,Cardiff,08-Jun-19,ODI # 4153
100*,164,94,11,0,106.38,2,not out,2,vÿWest Indies,Southampton,14-Jun-19,ODI # 4158
88,155,82,5,1,107.31,3,caught,1,vÿAfghanistan,Manchester,18-Jun-19,ODI # 4163
57,126,89,3,0,64.04,3,caught,2,vÿSri Lanka,Leeds,21-Jun-19,ODI # 4168
8,16,9,2,0,88.88,3,lbw,2,vÿAustralia,Lord's,25-Jun-19,ODI # 4173
44,96,54,2,0,81.48,3,caught,1,vÿIndia,Birmingham,30-Jun-19,ODI # 4179
24,54,25,1,0,96,3,caught,1,vÿNew Zealand,Chester-le-Street,03-Jul-19,ODI # 4183
49*,67,46,8,0,106.52,3,not out,2,vÿAustralia,Birmingham,11-Jul-19,ODI # 4191
7,40,30,0,0,23.33,3,caught,2,vÿNew Zealand,Lord's,14-Jul-19,ODI # 4192
,,,,,,,,,,,,
